What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
What does it mean for a subset I of X to be <i>inductive</i>?<br>	It means that given a directed subset D ⊆ X for which D ⊆ I then ∨<sub>X</sub>D ∈ I.<br><br>Crole pg 8
What is an up-set of a subset of a preorder?	The up-set of a subset A of X is the set {x | x ≥ A};  i.e., it is the set of all upper bounds of A.<br><br>crole pg 8
What is the down-set of a subset of a preorder?	The down-set of a subset A of preorder X is the set {x | x ≤ A};  i.e., it is the set of all lower  bounds of A.<br><br>crole pg 8
Let A be a subset of a preorder X. What does ↑A denote? What about ↓A?	The up-set and down-sets of A, respectively.<br><br>Crole pg 8
Give the definition of the possible worlds model.	A possible worlds model is a triple <b>M</b>=(W,R,V) of a non-empty set of <i>possible worlds</i> W, a binary <i>accessibility relation</i> R between worlds, and a <i>valuation map</i> V assigning truth values V(p,s) in {0,1} to proposition letters p at worlds s. <br><br>van Benthem pg 15
What is a <i>pointed</i> possible worlds model?	It is a possible worlds model paired with one of the worlds in the worlds set (this world is the "vantage point")<br><br>van Benthem  pg 15<br>
Give the definition for the modal logic language.	van Benthem pg 11<br>
How does one go about finding out which worlds a formula is true in for a given possible worlds model?	bottom-up, first figuring out which worlds propositional atoms are true for (which is trivial), working up toward larger and larger subformulas.<br><br>van Benthem pg 17
What does it mean for a modal logic formula to be valid?	answer: It is true in all pointed possible worlds models.<br><br>van benthem pg 17
Give all rules for the "Modal Evaluation Game"	van Benthem pg 19
State and prove the key lemma which witnesses the significance of the modal evaluation game.	φ is true in model M at world s iff V has a winning strategy in game(M,s,φ)<br><br>van Bentham pg 22<br>
Give the definition of a modal bisimulation.	A <i>bisimulation</i> is a binary relation E between the worlds of two pointed models <b>M</b>,s and <b>N</b>,t such that sEt and also, for any worlds x,y, whenever xEy, then<br><br>1.) x,y verify the same proposition letters<br>2a.) If xRz in <b>M</b>, then there exists u in <b>N</b> with yRu and zEu<br>2b.) If yRu in <b>N</b>, then there exists z in <b>M</b> with xRz and zEu.<br><br>van Benthem pg 26 
Why is there no bisimulation between the models on top of page van Benthem pg 27, where top nodes are points?	van Benthem pg 26/27
Give the definition of a tree unravelling of a pointed modal model.	van Benthem pg 27, def 3.2.2
Modal Logic:<br>Explain how bisimulation can be used to guide model contraction.	van Benthem pg 27/28<br>
Modal logic:<br>State and prove the invariance lemma for bisimulation and modal logic.	van Bentham pg 28/29
Modal logic:<br>Prove that irreflexivity (¬Rxx) is not a property which can be defined in modal logic.	van Bentham pg 29
Modal Logic:<br>Look at the diagram on van Bentham page 30 without reading the text. Prove there is no bisimulation between the black worlds of N and K.	van Benthem pg 29/30
Consider the following statement:<br><br>Let worlds s,t satisfy the same modal formulas in two <i>finite</i> models <b>M</b> <b>N</b>. Then there exists a bisimulation between <b>M</b>,<b>N</b> connecting s to t.<br><br>Prove or give a counterexample.	True. Van Bentham pg 30
Consider the following statement:<br><br>Let worlds s,t satisfy the same modal formulas in two models <b>M</b> <b>N</b>. Then there exists a bisimulation between <b>M</b>,<b>N</b> connecting s to t.<br><br>Prove or give a counterexample.	False. This may not hold for infinite models.<br><br>Here is a counterexample: Let there be countably infinite propositional letters {p<sub>1</sub>,p<sub>2</sub>,...}<br><br>Model M has a child which has all propositional letters, a child which has only propositional letters with indices that are multiples of 2. Then 3, then 4, etc.<br><br>Model N has a child which has no propositional letters. Then one that only has odd-indexed propositional letters. Then one which has no propositional letters which are multiples of 3, etc.<br><br>I haven't proven that this a counterexample yet. TODO?<br><br>van Bentham pg 30/31<br>
What is a <i>bisimulation game</i>?	Player S ("Spoiler") claims that two models M,s and N,t are different, while player D ("Duplicator") says they are similar. They play over k rounds, starting from the match s - t. If objects matched in a round differ in any atomic property, S wins. In each round, starting with m - n, Spoiler chooses either model M, and an R-successor x of m, or model N, and an R-successor x of n. Next, Duplicator must respond with a successor y in the other model, and the world match after the round is x - y. If a player cannot choose a successor when it is her turn in a round, she loses.<br><br>van Bentham page 31
State and prove the adequacy theorem for bismulation games.	Statement:<br><br>The following are equivalent for any two models (M,s), (N,t), finite or infinite:<br><br>1. M,s and N,t satisfy the same formulas up to modal depth k,<br>2. Duplicator has a winning strategy in the k-round game starting from (M,s),(N,t).<br><br>Proof:<br><br>van Bentham pg 32
Consider the following statement:<br><br>Given any finite set of proposition letters, and a fixed natural number k, up to logical equivalence, there are only <i>finitely many modal formulas</i> of modal depth ≤ k.<br><br>Prove or give a counterexample.	True. van Bentham pg 32<br>NEEDS IMPOSTOR<br>
State and prove "strong adequacy for bisimulation games" 	Statement:<br><br>Spoiler's winning strategies in a k-round game between models M,s,N,t explicitly match the modal formulas of <i>operator depth k</i> on which s,t disagree.<br><br>Proof:<br>You're on your own.<br><br>van Bentham pg 34
What is the relevance of the adequacy theorem for bisimulation games?	Duplicator's winning strategies in an <i>infinite</i> game between (M,s),(N,t) match the bisimulations between them linking s to t.<br><br>van Bentham pg 34, Fact<br><br>
Is the minimal modal logic decidable?	Yes. <br><br>pg 38/37
Consider the following statement:<br><br>Basic modal logic has the effective finite model property.<br><br>Prove or give a counterexample.<br>	pg 38
What is the "finite depth property" of modal logic?<br>	pg 39
What is a modal sequent, and what does it mean for a modal sequent to be <i>valid</i>?<br>	A modal sequent consists of two sequences of modal formulas separated by a double arrow: <br>φ<sub>1</sub>,...,φ<sub>k</sub>⇒ψ<sub>1</sub>,...,ψ<sub>m</sub>.<br>Such a sequence is valid if in every world in every model, the conjunction of the φ's implies this disjunction of the ψ's.<br><br>van Bentham pg 40
Let A and B be sets of formulas. Consider the following statement:<br><br>(A, ¬φ ⇒ B) iff (A ⇒ B, φ)<br><br>Explain or give a counterexample.<br>	true. pg 40
Let A and B be sets of formulas. Consider the following statement:<br><br>(A ⇒ B, ¬φ) iff (A,φ ⇒ B)<br><br>Explain or give a counterexample.<br>	True. pg 40
Let A and B be sets of formulas. Consider the following statement:<br><br>(A, (φ ∧ ψ) ⇒ B) iff (A,φ,ψ ⇒ B)<br><br>Explain or give a counterexample.<br>	true. pg 40<br>IMPOSTOR NEEDED.<br>
Let <b>p</b> and <b>q</b> be sequences of proposition letters. <br><br>Consider the following statement:<br><br>A modal sequent of the form <b>p</b>,◊φ<sub>1</sub>,...,◊φ<sub>k</sub> ⇒ ψ<sub>1</sub>,...,ψ<sub>m</sub>,<b>q</b> is valid iff either<br>1. <b>p</b>,<b>q</b> overlap, or<br>2. for some i (1 ≤ i ≤ k), the sequent φ<sub>i</sub>⇒ψ<sub>1</sub>,...,ψ<sub>m</sub> is valid.<br><br>Prove or give a counterexample.	THIS IS AN IMPOSTOR<br>pg 41<br>
List the five principles of the minimal modal logic proof system K.<br>	pg 50/51<br>
Prove the following in the modal logic proof system K:<br><br>If φ → ψ is provable, then so is ◊φ→◊ψ<br>	pg 52<br>
Prove the following in the modal logic proof system K.<br><br>If φ → ψ is provable, then so is □φ→□ψ<br><br><br><br>	pg 51
State the "replacement by provable equivalents" principle.<br>	pg 52<br>
Prove or counter:<br><br>□(φ ∧ ψ) → (□φ ∧ □ψ)<br>	True. pg 52<br>TODO: add impostor
Prove or counter:<br><br>├<sub>K</sub> ◊(φ ∨ ψ) → (◊φ ∨ ◊ψ)<br><br>	True. pg 52<br>
Prove or counter:<br><br>├<sub>K</sub> ◊(φ ∧ ψ) ↔ (◊φ ∧ ◊ψ)<br><br>	IMPOSTOR! pg 52<br>
What does it mean for a set Σ of formulas to be consistent? What are some useful properties of consistency?	pg 54/55<br>
List some decomposition properties of maximally consistent sets.	pg 55 (see <b>Facts</b>)
Let Σ be a maximally consistent set such that ◊φ ∈ Σ, and let Γ={φ}∪{α | □α ∈ Σ}.<br><br>Consider the following statement:<br><br>Γ is consistent. <br><br>Prove or give a counterexample.<br><br><br>	true. pg 55<br>TODO: add counterexample<br>
Give the definition of the Henkin model.<br>	pg 56
State and prove the truth lemma.<br>	pg 56<br>
Explain the difference between strong completeness and weak completeness.<br>	pg 56<br>
How can the truth lemma be used to prove the completeness of K?<br>	<br>pg 54-56 <br>you really need to start reading on page 54 to get the hole argument. the key thing to remember is that its a proof by contrapositive. not derivable => not valid.<br>
If ├<sub>K</sub>□ψ then ├<sub>K</sub>ψ.<br><br>Prove or give a counterexample.<br><br>	true. pg 57/58<br>TODO: add impostor?<br>
What does it mean for two posets to be order isomorphic?	There exists a map φ from P onto Q such that x ≤ y in P if and only if φ(x) ≤ φ(y) in Q.<br><br>D&P pg 3<br>
Consider the following statement:<br><br>Every order isomorphism is bijective.<br><br>Prove or give a counterexample.<br>	true. <br><br>D&P pg 3<br>
Consider the following statement:<br><br>every bijective map between sets is an order isomorphism<br><br>prove or counter	should be a counterexample<br><br>D&P pg 3<br>
There is a chain in set theory known as ω. Give the concrete definition of this chain.	It's the natural numbers {0,1,...}, endowed with the standard order on natural numbers.<br><br>D&P pg 4<br>
Explain the relation between the predicate poset and the power set poset.<br>	D&P pg 5<br>
What is an interval order?	D&P pg 5
What does it mean for one element of an ordered set to <i>cover</i> another?	D&P pg 11<br>
Prove or counter:<br><br>If a partially ordered set P is finite, its order determines and is determined by its covering relation.<br>	true. D&P pg 11<br>TODO: impostor<br>
Consider the following statement:<br><br>Let P and Q be finite ordered sets and let φ : P → Q be a bijective map. Then the following are equivalent:<br><br>(i) φ is an order-isomorphism<br>(ii) x < y in P if and only if φ(x) < φ(y)<br>(iii) x ≺ y in P if and only if φ(x) ≺ φ(y)<br><br>prove or give a counterexample.<br>	true D&P pg 13<br>
Consider the following statement:<br><br>Let P and Q be finite ordered sets and let φ be a map from P to Q. Then the following are equivalent:<br><br>(i) φ is an order-isomorphism<br>(ii) x < y in P if and only if φ(x) < φ(y)<br>(iii) x ≺ y in P if and only if φ(x) ≺ φ(y)<br><br>Prove or give a counterexample.	should be a counterexample. this is only true when the map is bijective.<br><br>D&P pg 13<br>
Consider the following statement:<br><br>Two finite ordered sets P and Q are order-isomorphic if and only if they can be drawn with identical diagrams.<br><br>Prove or give a counterexample.<br>	true. D&P pg 14<br>
If P is a poset, then what does P<sup>∂</sup> denote?	D&P page 14<br>
If φ is a statement about an ordered set P, then what does φ<sup>∂</sup> denote?<br>	D&P pg 14<br>
State the duality principle.	D&P pg 15<br>
What do ┬ and ┴ denote w.r.t. posets?	D&P pg 15
How are ┬ and ┴ poset elements typically used in computer science models?	D&P pg 15<br>
What does it mean to <i>lift</i> an ordered set? What is a flat ordered set?<br>	D&P pg 15/16<br>
What are maximal and minimal elements of ordered sets?	D&P pg 16
What is the difference between maximal and maximum elements of ordered sets?	D&P pg 16
What role do maximal elements play when using posets to model information?	D&P top of pg 17
What is the disjoint union of two ordered sets? How is it denoted?	D&P pg 17
What is the linear sum P⊕Q of two disjoint ordered sets? How would we draw its Hasse diagram?	D&P pg 17
What is the default order relation for a cartesian product of ordered sets?	ans: pointwise, not lexicographic<br>D&P pg 18
Consider the following statement:<br><br>Let X = {1,2,...,n} and φ : 2<sup>X</sup>→2<sup><b>n</b></sup> by φ(A) = (ε<sub>1</sub>,...,ε<sub>n</sub>) where <br><br>ε<sub>i</sub>=1 if i ∈ A and 0 if i is not in A<br><br>Then φ is an order isomorphism. Prove or give a counterexample.<br>	true. D&P pg 19<br>todo: IMPOSTOR
Give the definition of a down-set. Give the definition of an up-set.	D&P pg 20<br>
If Q and P are ordered sets such that Q ⊆ P, what do ↓Q and ↑Q denote?	D&P pg 20
What does it mean for a downset to be <i>principal</i>?	pg 20
If P is a poset, what does O(P) denote?	the family of all downsets of P, ordered under the inclusion order<br><br>D&P pg 21
What can be said of O(P) if P is an anti-chain?	D&P pg 21 example.
What can be said of O(P) if P is the chain <b>n</b> = {1,...,n}? Is this true for all chains?<br>	It's a totally-ordered chain which is isomorphic to <b>n+1</b>. Its elements are Ø,↓1,↓2,...<br><br>O(P) for chains does not generally consist of Ø,↓1,↓2,... see page 21 for examples(HINT HINT: chains can be infinite).<br><br><br>D&P pg 21<br>
Prove lemma 1.30 D&P pg 21<br>	<br>
Discuss the way up-sets and down-sets are related.	D&P pg 22
Prove or counter:<br>O(P)<sup>∂</sup>≃O(P<sup>∂</sup>)<br>	A bijection which maps each downset to its complement should do the trick.<br><br>D&P pg 22
Demonstrate example 1.33 (1) on D&P pg 23<br>	<br>
Explain the difference between "order preserving" and "order embedding" maps between posets.<br>	D&P pg 23
Which of the posets in fig 1.11 of D&P pg 24 are order-preserving? Order embedding? Order isomorphisms?<br>	pg 23
Let <b>p</b> and <b>q</b> be sequences of proposition letters. <br><br>Consider the following statement:<br><br>A modal sequent of the form <b>p</b>,◊φ<sub>1</sub>,...,◊φ<sub>k</sub> ⇒ ◊ψ<sub>1</sub>,...,◊ψ<sub>m</sub>,<b>q</b> is valid iff either<br>1. <b>p</b>,<b>q</b> overlap, or<br>2. for some i (1 ≤ i ≤ k), the sequent φ<sub>i</sub>⇒ψ<sub>1</sub>,...,ψ<sub>m</sub> is valid.<br><br>Prove or give a counterexample.	true. pg 41<br>
Consider the following statement:<br><br>O(P ⊕ <b>1</b>) ≃ O(P) ⊕ 1<br><br>Prove or give a counterexample.<br>	true. pg 22<br>TODO: add impostor<br>
Consider the following statement:<br><br>O(<b>1</b>⊕P) ≃ <b>1</b> ⊕ O(P)<br><br>Prove or give a counterexample.	true. pg 22<br>TODO: add counterexample<br>
Consider the following statement:<br><br>O(P<sub>1</sub> ∪ P<sub>2</sub>) ≃ O(P<sub>1</sub>) × O(P<sub>2</sub>)<br><br>Prove or give a counterexample.<br>	true. pg 22<br>TODO: add impostor<br>
What do the notations ∨<sub>P</sub>S and ∧<sub>P</sub>S mean?	pg 34
What is a lattice?	pg 34
What is a complete lattice?	pg 34
Consider the following statement<br><br>x ≤ y iff x∨y = y and x∧y=x<br><br>Prove or give a counterexample.<br>	TRUE.<br>pg 34 (remark 2.5, 1)<br>An impostor exists somewhere in the deck<br> 
Consider the following statement<br><br>x ≤ y iff x∨y = x and x∧y=y<br><br>Prove or give a counterexample.	IMPOSOTOR!<br>pg 34
There are two reasons why x∨y may fail to exist in an ordered set. List them.<br>	top of pg 35
Let P be a lattice. Consider the following statement:<br><br>For all a,b,c,d ∈ P, a ≤ b implies a∨c ≤ b∨c and a∧c ≤ b∧c.<br><br>Prove or give a counterexample.<br>	true<br>pg 35 (4) i
Let P be a lattice. Consider the following statement:<br><br>For all a,b,c,d ∈ P, a ≤ b implies a∨c ≤ b∨c and a∧c ≥ b∧c.<br><br>Prove or give a counterexample.<br>	IMPOSTOR:<br>pg 35 (4) (i)
Let P be a lattice. Consider the following statement:<br><br>For all a,b,c,d ∈ P, a ≤ b and c ≤ d imply a∨c ≤ b∨d and a∧c ≤ b∧d.<br><br>Prove or give a counterexample.<br>	true <br>pg 35
Let P be a lattice. Consider the following statement:<br><br>For all a,b,c,d ∈ P, a ≤ b and c ≤ d imply a∨d ≤ b∨c and a∧d ≤ b∧c.<br><br>Prove or give a counterexample.<br>	IMPOSTOR.. it's supposed to be, at least<br>pg 35 (4) (ii)
Let P be a lattice. Let a,b, and c be elements of P and assume that b ≤ a ≤ b∨c. Consider the following statment:<br><br>a∨c = b∨c<br><br>Prove or give a counterexample.<br>	True. pg 35/36
Consider the following statement:<br><br>The real numbers form a lattice.<br><br>Prove or disprove.<br>	true<br>pg 36
Consider the following statement:<br><br>For any set X, the ordered set (P(X), ⊆) is a complete lattice.<br><br>Prove or give a counterexample.<br>	TRUE. PG 36
Give the definition of the term<br><i>lattice of sets</i>.	pg 37
Prove or give a counterexample:<br>O(P) is a complete lattice of sets for any ordered set P.<br>	true. pg 37
State and prove the correspondence theorem.	statement:<br>Let the map φ : G -> G' be a homomorphism of G onto G' with kernel K. If H' is a subgroup of G' and if <br><br>H = { a ϵ G | φ(a) ϵ H'},<br><br>then H is a subgroup of G, H ⊇ K,and H/K is isomorphic to H'. Finally, if H'◄G' then H ◄ G .<br><br>proof:<br>pg 86
State and prove the second homomorphism theorem.	statement:<br><br>Let H be a subgroup of a group G and N a normal subgroup of G. Then HN = { hn | h ϵ H, n ϵ N } is a subgroup of G, H ∩ N is a normal subgroup of H, and H/(H∩N) is isomorphic to (HN)/N.<br><br>proof:<br>pg 86
Prove or cntr:<br>"If p is a prime and p does not divide a, then a<sup>p-1</sup> ≡ 1 mod p"	pg 78
State and prove LaGrange's Theorem.	pg 59
What does it mean for two elements, a and b, of a group to be conjugates?	∃x ϵ G such that b = x<sup>-1</sup>ax<br>pg 73
Give the definitions of right cosets and left cosets.	If a ϵ G, and H is a subgroup of G, a set of the form aH is called a left coset and a set of the form Ha is called a right coset of H in G.<br><br>pg 58
"A group of prime order is cyclic"<br>prove or give a counterexample	pg 60
Give the definition of the order of a group.	the number of elements in G, i.e. |G|.<br>
"If G is a group and a ϵ G, then o(a) | |G|"<br>Prove or give a counterexample.<br>	IMPOSTOR! This would be true if G was finite, but for infinite groups, the statement doesn't even make sense.<br><br>pg 60
Prove or give a counterexample:<br>"If G is a finite group and a ϵ G, then o(a)|G"	<br><br>pg 60
Prove or cntr:<br>"If G is a finite group of order n, then a<sup>n</sup>=e for all a ϵ G"	pg 60
Give the definition of Euler's φ function.	φ(1) = 1<br>for n > 1, φ(n) = the number of positive integers m with 1 ≤ m < n such that (m,n) = 1.<br>pg 62
Prove or give a counterexample:<br>∀a,n ϵ <b>Z</b>,a<sup>φ(n)</sup>≡1 mod n.<br>	counter : <br>2 and 4<br>φ(4) = 2.<br>2^3=8≡0 mod 4<br><br>pg 62
Prove or give a counterexample:<br>If a is an integer relatively prime to n, then a<sup>φ(n)</sup>≡1 mod n.<br>	pg 63
pg 80, prb 26	<br>
pg 65, prb 29	<br>
pg 65, prb 32	<br>
pg 65, prb 34	<br>
Give the definition of a homomorphism. 	Let G and G' be two groups. A homomorphism is a mapping f : G → G' such that f(ab)=f(a)f(b) for all a,b ϵ G.<br><br>pg 67
Give the definition of a monomorphism.	a 1-1 homomorphism
Give the definition of an isomorphism.	a bijective homomorphism<br><br>pg 67
Give the definition of an automorphism	an isomorphism from some group into itself.<br>
State Cayley's Theorem	Every group G is isomorphic to some subgroup of A(S), for an appropriate S.<br><br>pg 69
Let G be a group and a ϵ G. What is "the inner automorphism of G induced by a" mean?	The function f(x) = a<sup>-1</sup>xa<br><br>pg 69
Consider the following statement:<br>If φ is a homomorphism of G into G' then<br>φ(e)=e', the unit element of G'<br><br>Prove or give a counterexample 	true<br>pg 70
Consider the following statement:<br><br>If φ is a homomorphism of G into G', then <br>φ(a<sup>-1</sup>)=φ(a)<sup>-1</sup>.	pg 70<br>
Consider the following statement:<br>The image of a group G under a homomorphism from G to G' is a subgroup of G'.	true <br>lemma 2.5.3 <br>pg 70
Give the definition of the kernel of a homomorphism<br>explain its significance.	it measures the degree of 1-1ness that a homomorphism has.<br><br>pg 70
Consider the following statement:<br>If w'ϵ G' is of the form φ(x) = w', then { y ϵ G | φ(y) = w' } = (Ker φ)x.<br><br>Prove or give a counterexample.<br>	pg 70
Consider the following statement:<br>If φ is a homomorphism of G into G', then Ker φ is a subgroup of G.<br><br>prove or give a counterexample.	pg 71
Consider the following statement:<br>Given a ϵ G, a<sup>-1</sup>(Ker φ)a ⊆ Ker φ.<br><br>prove or give a counterexample.	pg 71
Consider the following statement:<br>If φ is a homomorphism of G into G', then φ is a monomorphism iff Ker φ = (e).<br>	pg 71
Give the definition of the term "normal subgroup"	A subgroup N of G is said to be a <i>normal subgroup</i> of G if a<sup>-1</sup>Na ⊆ N for every a ∈ G.<br><br>pg 71
Prove or give a counterexample:<br>  N◄G iff every left coset of N in G is a right coset of N in G.	pdf pg 87<br>pg 72
Prove or give a counterexample:<br>For all subgroups G' of G, and all a ϵ G, aG' = G'a.<br>	IMPOSTOR: this would be true if G' were normal.<br>pg 72<br>
Give the definition of the notation G/N.	pg 78
Consider the following statement:<br><br>If N ◄ G then there is a homomorphism  φ of G onto G/n such that Ker φ = N.<br><br>Prove or show no such homomorphism exists.	true <br>pg 78
Consider the following statement:<br><br>If N ◄ G, then there is a  monomorphism φ of G onto G/N such that Ker φ, the kernel of φ is N.<br><br>Prove or disprove.	should be disprovable (I intend it to be an impostor but am too lazy to check it now).<br><br>pg 78
Consider the following statement:<br><br>If G is a finite group and N ◄ G, then |G/N|  = |G|/|N|.<br><br>Prove or give a counterexample.	pg 80
Consider the following statement:<br><br>If G is a finite abelian group of order |G| and p is a prime that divides |G|, then G has an element of order p.<br><br>Prove or give a counterexample.	true<br><br>pg 80
Consider the following statement:<br><br>If G is a finite abelian group of order |G| and n is a number that divides |G|, then G has an element of order n.<br><br>prove or disprove	should be a counterexample for this
pg 83 orb 8	<br>
pg 83 prb 10	<br>
pg 83 prb 12	<br>
State and prove the first homomorphism theorem.	Statement: Let φ be a homomorphism of G onto G' with kernel K. Then G' is isomorphic to G/K, the isomorphism between these being effected by the map α : G/K -> G' defined by α(Ka) = φ(a).<br><br>proof:<br>pg 85
State and prove the third homomorphism theorem.	statement:<br>If the map φ : G → G' is a homomorphism of G onto G' with kernel K then, if N' ◄ G' and N = {a ϵ G | φ(a) ϵ N'}, we conclude that G/N is isomorphic to G'/N'. Equivalently, G/N = (G/K)/(N/K).<br><br>proof:<br>pg 87
Give the meaning of the notation i<sub>G</sub>(H)	If G is a finite group and H is a subgroup of G, the number of right cosets of H in G, namely |G|/|H|, is called the <i>index</i> of H in G and is written as i<sub>G</sub>(H).
State and prove the connecting lemma.	pg 39
List the four basic algebraic laws (modulo duality) of lattices that ∧ and ∨ exhibit.	pg 39
How is the duality principle for ordered sets interpreted in the context of lattices? 	All ∧'s are replaced with ∨'s and vice-versa.<br><br>pg 39
Let (L;∨,∧) be a non-empty set equpped with two binary operations satisfying the four basic properties of lattices (and the duals of these properties). Consider the following statement:<br><br>For all a,b ∈ L, we have a∨b=b iff a∧b=a.<br><br>Prove or give a counterexample.	true pg 40<br>
Let (L;∨,∧) be a non-empty set equpped with two binary operations satisfying the four basic properties of lattices (and the duals of these properties). Consider the following statement:<br><br>For all a,b ∈ L, we have a∨b=b iff a∧b≤a.<br><br>Prove or give a counterexample.	IMPOSTOR pg 40
Let (L;∨,∧) be a non-empty set equpped with two binary operations satisfying the four basic properties of lattices (and the duals of these properties). Consider the following statement:<br><br>Define ≤ on L by a ≤ b if a∨b = b. Then ≤ is an order relation.<br><br>Prove or give a counterexample.	true.<br>pg 40<br>TODO: add impostor
Let (L;∨,∧) be a non-empty set equpped with two binary operations satisfying the four basic properties of lattices (and the duals of these properties). Consider the following statement:<br><br>Define ≤ on L by a ≤ b if a∨b = b. Then (L;≤) is a lattice in which the original operations agree with the induced operations, that is, for all a,b ∈ L,<br><br>a∨b=sup{a,b} and a∧b=inf{a,b}<br><br>Prove or give a counterexample.	true. <br>pg 40, 2.10 (iii)<br><br>
When viewing lattices as algebraic structures, the symbols ┬ and ┴ are not used. Other symbols are used in their place. What are these symbols and what accounts for this difference? 	they are 1 and 0. 1 is an identity for join. 0 is an identity for meet.<br><br>pg 41<br>
What does it mean for a lattice to be <i>bounded</i>?	It means that it has both a top and a bottom.<br><br>pg 41<br>
Give the definition of a <i>sublattice</i>.	Let L be a lattice and Ø ≠ M ⊆ L. Then M is a sublattice of L if<br>a,b ∈ M implies a∨b ∈ M and a ∧b ∈ M. <br><br>pg 41<br>
What do the notations Sub L and Sub<sub>0</sub>L denote? 	All sublattices of L, and Sub L ∪ {Ø}, respectively.<br><br>pg 41
Let L and K be lattices and let L×K be their cartesian ordered set product with pointwise order. Is L×K a lattice? Prove or give a counterexample.	True. <br>pg 42<br>TODO: add impostor
Let L and K be lattices. What does it mean for a map f : L → K to be a homomorphism?	<br>It means that for all a,b ∈ L, f(a∨b)=f(a)∨f(b) and f(a∧b)=f(a)∧f(b).<br><br>pg 43<br>
If L and K are lattices, what does it mean for a map f : L → K to be an isomorphism?	It means f is a bijective lattice homomorphism (where f(a∧b)=f(a)∧f(b) and f(a∨b)=f(a)∨f(b)).<br><br>pg 43<br>
If L and K are lattices, what does the notation L ↣ K mean?<br><br><br>	K has a sublattice isomorphic to L.<br><br>pg 43<br>
What does it mean for a lattice homomorphism between bounded lattices to be a {0,1} homomorphism?<br>	It means f(0)=0 and f(1)=1.<br><br>pg 43<br>
Let L and K be lattices and f : L → K a map. Consider the following statement: <br><br>The following are equivalent:<br>(a) f is order-preserving<br>(b) (∀a,b ∈ L) f(a∨b) ≥ f(a)∨f(b)<br>(c) (∀a,b ∈ L) f(a∧b) ≤ f(a)∧f(b)<br><br>Prove or give a counterexample.<br><br><br><br>	true. pg 44
